Date,Close,High,Low,Open,Volume
01/06/2021,1902.900024,1916.199951,1892.800049,1905.099976,640
02/06/2021,1907.5,1908.800049,1896,1899.199951,1267
03/06/2021,1871.199951,1908.800049,1865,1908.800049,1021
04/06/2021,1889.800049,1895.5,1854,1869.300049,367
07/06/2021,1896.800049,1899.699951,1883.199951,1890.5,87
08/06/2021,1892.199951,1902.900024,1890,1896.5,930
09/06/2021,1893.199951,1897.699951,1889.199951,1894.900024,148
10/06/2021,1894.199951,1899.800049,1871.5,1887.699951,186
11/06/2021,1877.400024,1902.300049,1875.199951,1900.900024,349
14/06/2021,1864,1866.599976,1846.5,1866.199951,41
15/06/2021,1854.5,1867.199951,1854.400024,1866.400024,78
16/06/2021,1859.5,1860.099976,1809.199951,1859.400024,117
17/06/2021,1773.800049,1823.300049,1769.599976,1811.800049,1135
18/06/2021,1767.900024,1792.400024,1767.900024,1775.699951,354
21/06/2021,1781.800049,1785.199951,1766.800049,1768.800049,38
22/06/2021,1776.300049,1786.900024,1775.900024,1783.400024,101
23/06/2021,1782.300049,1793.199951,1780.599976,1780.699951,136
24/06/2021,1775.599976,1786.400024,1775.599976,1778.900024,78
25/06/2021,1776.599976,1788,1775.199951,1777.699951,35
28/06/2021,1779.599976,1779.599976,1779.599976,1779.599976,888
29/06/2021,1762.800049,1777.099976,1752.099976,1776.800049,419
30/06/2021,1770.800049,1770.800049,1759.199951,1761.099976,51
01/07/2021,1775.900024,1781.199951,1768.800049,1775.699951,44
02/07/2021,1782.599976,1787.900024,1778.300049,1778.699951,23
06/07/2021,1793.5,1809.800049,1786.699951,1786.699951,332
07/07/2021,1801.5,1808.400024,1797.199951,1798.699951,244
08/07/2021,1799.599976,1818.5,1797,1797,148
09/07/2021,1810,1810.099976,1798.800049,1803.599976,218
12/07/2021,1805.5,1805.5,1799.5,1802.599976,147
13/07/2021,1809.400024,1812,1800.599976,1808.099976,78
14/07/2021,1824.300049,1829,1813.099976,1813.099976,707
15/07/2021,1828.400024,1833,1823.400024,1831.599976,99
16/07/2021,1814.5,1831.400024,1814.5,1830.099976,78
19/07/2021,1808.699951,1813.400024,1803.300049,1803.300049,33
20/07/2021,1810.900024,1824,1810.900024,1812.900024,128
21/07/2021,1802.900024,1807,1800,1807,135
22/07/2021,1805,1805,1793.599976,1793.599976,2
23/07/2021,1801.400024,1801.400024,1800,1800,1
26/07/2021,1798.699951,1802.5,1797.199951,1802.5,17
27/07/2021,1799.5,1803.699951,1799.5,1803.699951,1
28/07/2021,1799.5,1799.5,1799.5,1799.5,209783
29/07/2021,1831.199951,1832.599976,1806.099976,1806.599976,30496
30/07/2021,1812.599976,1830.5,1808.900024,1828,3100
02/08/2021,1818.099976,1818.699951,1804.800049,1812.400024,1334
03/08/2021,1810.099976,1813.5,1806,1812.300049,3341
04/08/2021,1810.5,1831.300049,1806.300049,1809.300049,2860
05/08/2021,1805.099976,1813.699951,1796,1810.800049,588
06/08/2021,1760,1800.099976,1758.400024,1799.800049,859
09/08/2021,1723.400024,1753.800049,1692.599976,1753.5,1621
10/08/2021,1728.800049,1735.199951,1720.099976,1728.599976,1363
11/08/2021,1750.400024,1752.199951,1727.300049,1727.300049,542
12/08/2021,1749,1752.400024,1745.5,1749.699951,739
13/08/2021,1775.199951,1777.300049,1757.400024,1758.300049,436
16/08/2021,1786.900024,1787.800049,1771.900024,1776.900024,219
17/08/2021,1785,1794.199951,1780,1787.699951,200
18/08/2021,1781.599976,1791.5,1779,1787.800049,263
19/08/2021,1780.199951,1789.300049,1775.5,1780,245
20/08/2021,1781,1787.5,1778.199951,1784.099976,235
23/08/2021,1803.199951,1804.800049,1776.800049,1776.800049,32
24/08/2021,1805.599976,1805.599976,1801,1801,22
25/08/2021,1788.199951,1792.900024,1784,1792,812
26/08/2021,1792.199951,1792.199951,1781,1787.400024,61
27/08/2021,1816.599976,1816.599976,1803.099976,1803.400024,1219
30/08/2021,1809,1820.300049,1807.800049,1818.199951,684
31/08/2021,1815,1815.900024,1801.099976,1815.900024,82
01/09/2021,1813.099976,1815.900024,1809.5,1813.5,114
02/09/2021,1808.699951,1813.900024,1806.800049,1813.199951,26
03/09/2021,1830.900024,1833.900024,1818.900024,1820.900024,53
07/09/2021,1795.900024,1825.699951,1792.699951,1825.699951,48
08/09/2021,1790.699951,1790.699951,1781.699951,1781.699951,69
09/09/2021,1797.400024,1798.699951,1787.900024,1798.699951,49
10/09/2021,1789.599976,1789.599976,1789.599976,1789.599976,0
13/09/2021,1792,1796,1784,1789.800049,533
14/09/2021,1804.699951,1806.199951,1783,1791.400024,764
15/09/2021,1792.400024,1803.699951,1792.400024,1803.699951,59
16/09/2021,1754.599976,1792.900024,1743.900024,1792.900024,1645
17/09/2021,1749.400024,1763,1749.400024,1758.800049,581
20/09/2021,1761.800049,1761.800049,1750.900024,1751.800049,185
21/09/2021,1776,1776,1759,1762.199951,106
22/09/2021,1776.699951,1784.300049,1767,1776.699951,17
23/09/2021,1747.699951,1766.800049,1738.199951,1766.800049,31
24/09/2021,1749.699951,1749.699951,1745,1749.699951,76
27/09/2021,1750,1754.400024,1747.5,1751.699951,808
28/09/2021,1735.800049,1741.699951,1726.800049,1739.599976,15748
29/09/2021,1721.5,1744.099976,1721.400024,1732.400024,6634
30/09/2021,1755.300049,1760.300049,1724.5,1725.5,997
01/10/2021,1757,1762.599976,1748.5,1754.300049,2220
04/10/2021,1766.199951,1768.900024,1749.5,1764.5,417
05/10/2021,1759.599976,1764.300049,1749,1764.300049,98
06/10/2021,1760.5,1762.900024,1744.699951,1759.300049,56
07/10/2021,1757.900024,1762.400024,1752.800049,1762.400024,336
08/10/2021,1756.300049,1780,1754.199951,1757,254
11/10/2021,1754.599976,1757.800049,1752.199951,1756.599976,128
12/10/2021,1758.300049,1768,1749.800049,1751.900024,139
13/10/2021,1793.699951,1794.5,1760.800049,1760.800049,150
14/10/2021,1796.699951,1799.900024,1792,1792.199951,337
15/10/2021,1767.199951,1795.400024,1766.599976,1794.5,874
18/10/2021,1764.800049,1770.099976,1759.5,1761.599976,266
19/10/2021,1769.699951,1785,1767.5,1777.599976,51
20/10/2021,1784.099976,1785.599976,1774,1774.599976,127
21/10/2021,1781.199951,1785.699951,1781,1782,146
22/10/2021,1795.5,1806.900024,1784,1787.099976,532
25/10/2021,1806,1809,1794,1794.300049,140
26/10/2021,1792.699951,1808.800049,1788.599976,1808.800049,359
27/10/2021,1797.900024,1798.099976,1791.5,1791.5,543
28/10/2021,1801.599976,1807.300049,1795.5,1795.5,452
29/10/2021,1783,1797,1774.599976,1793.099976,583
01/11/2021,1795.099976,1795.099976,1786.699951,1787.5,142
02/11/2021,1788.699951,1795.5,1787.699951,1790.5,213
03/11/2021,1763.599976,1768,1761.800049,1768,108
04/11/2021,1793,1798.199951,1776.199951,1776.599976,103
05/11/2021,1816.400024,1817.099976,1794.900024,1794.900024,239
08/11/2021,1827.400024,1827.400024,1816.900024,1817,261
09/11/2021,1830.199951,1832.699951,1820.699951,1826.099976,170
10/11/2021,1847.599976,1865,1824.900024,1825.800049,795
11/11/2021,1863.199951,1866.5,1853.900024,1853.900024,292
12/11/2021,1867.900024,1867.900024,1847.599976,1860.800049,210
15/11/2021,1866.099976,1866.900024,1864.5,1864.5,87
16/11/2021,1853.599976,1853.599976,1853.599976,1853.599976,1
17/11/2021,1869.699951,1869.699951,1862.599976,1862.599976,2
18/11/2021,1861,1861,1861,1861,9
19/11/2021,1851.199951,1851.199951,1851.199951,1851.199951,21
22/11/2021,1806,1841.599976,1805.699951,1841.599976,14
23/11/2021,1783.5,1795.5,1783.5,1795.5,264
24/11/2021,1784.099976,1793,1781.400024,1793,188
26/11/2021,1785.300049,1791.400024,1785.300049,1791.099976,186800
29/11/2021,1782.300049,1798.900024,1779.099976,1791.699951,26926
30/11/2021,1773.599976,1808.099976,1768.699951,1783.900024,4903
01/12/2021,1781.599976,1790.5,1772.300049,1774.800049,1128
02/12/2021,1760.699951,1780.900024,1760.599976,1780.900024,1557
03/12/2021,1782,1785.099976,1766.5,1767.5,694
06/12/2021,1777.5,1783,1777.199951,1780.199951,381
07/12/2021,1782.599976,1786.099976,1772.300049,1779.5,308
08/12/2021,1783.400024,1789.900024,1779,1789.900024,1383
09/12/2021,1774.599976,1783.5,1771.800049,1783.5,455
10/12/2021,1782.900024,1785.400024,1769.099976,1773.800049,545
13/12/2021,1786.300049,1787.099976,1783.800049,1784.400024,206
14/12/2021,1770.400024,1787,1769,1787,322
15/12/2021,1762.599976,1778.699951,1753.900024,1767.400024,283
16/12/2021,1796.599976,1798.099976,1781,1781,21
17/12/2021,1803.800049,1812.900024,1803.800049,1804,654
20/12/2021,1793.699951,1799.800049,1792,1796.800049,226
21/12/2021,1787.900024,1796.5,1787.900024,1791.400024,575
22/12/2021,1801.599976,1805.199951,1785.5,1786,567
23/12/2021,1811.199951,1811.199951,1800.800049,1806,193
27/12/2021,1808.099976,1812.099976,1807,1810,150
